index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/20 00:58:01.389, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:58:01.391, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:59:01.392, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:59:01.394, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:00:01.395, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:00:01.397, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:01:01.398, 21.74 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:01:01.400, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:02:01.401, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:02:01.403, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:03:01.404, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:03:01.406, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:04:01.407, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:04:01.409, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:05:01.410, 21.74 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:05:01.412, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:06:01.413, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:06:01.414, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:07:01.416, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:07:01.418, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:08:01.419, 22.03 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:08:01.421, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:09:01.422, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:09:01.429, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:10:01.431, 22.03 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:10:01.432, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:11:01.434, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:11:01.435, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:12:01.437, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:12:01.438, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:13:01.440, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:13:01.441, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:14:01.443, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:14:01.445, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:15:01.446, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:15:01.448, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:16:01.449, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:16:01.451, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:17:01.453, 22.13 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:17:01.454, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:18:01.456, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:18:01.458, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:19:01.459, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:19:01.460, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:20:01.462, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:20:01.464, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:21:01.465, 22.03 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:21:01.466, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:22:01.468, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:22:01.469, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:23:01.471, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:23:01.472, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:24:01.473, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:24:01.475, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:25:01.477, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:25:01.478, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:26:01.480, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:26:01.481, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:27:01.483, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:27:01.489, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:28:01.490, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:28:01.492, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:29:01.494, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:29:01.495, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:30:01.497, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:30:01.498, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:31:01.500, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:31:01.501, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:32:01.503, 21.93 W, 29, 0 %, 5 MiB
1, 2023/03/20 01:32:01.504, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:33:01.506, 21.74 W, 30, 0 %, 5 MiB
