index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
1, 2023/03/17 00:51:02.822, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:52:02.843, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:52:02.867, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:53:02.883, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:53:02.900, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:54:02.917, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:54:02.943, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:55:02.957, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:55:02.961, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:56:02.966, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:56:02.971, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:57:02.986, 24.87 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:57:02.989, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:58:03.001, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:58:03.004, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:59:03.020, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:59:03.041, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:00:03.054, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:00:03.058, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:01:03.070, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:01:03.073, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:02:03.077, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:02:03.096, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:03:03.105, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:03:03.132, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:04:03.143, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:04:03.147, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:05:03.150, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:05:03.172, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:06:03.181, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:06:03.185, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:07:03.189, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:07:03.194, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:08:03.200, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:08:03.204, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:09:03.210, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:09:03.234, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:10:03.239, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:10:03.244, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:11:03.248, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:11:03.274, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:12:03.279, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:12:03.306, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:13:03.312, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:13:03.315, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:14:03.318, 24.66 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:14:03.322, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:15:03.339, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:15:03.343, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:16:03.372, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:16:03.390, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:17:03.415, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:17:03.444, 24.13 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:18:03.467, 24.86 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:18:03.471, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:19:03.493, 24.65 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:19:03.513, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:20:03.534, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:20:03.538, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:21:03.558, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:21:03.578, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:22:03.591, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:22:03.610, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:23:03.615, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:23:03.619, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:24:03.623, 24.94 W, 44, 0 %, 0 MiB
1, 2023/03/17 01:24:03.641, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:25:03.647, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:25:03.650, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:26:03.654, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:26:03.672, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:27:03.677, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:27:03.690, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:28:03.695, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:28:03.699, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:29:03.703, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:29:03.723, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:30:03.731, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:30:03.748, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:31:03.757, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:31:03.761, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:32:03.765, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:32:03.768, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:33:03.773, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:33:03.776, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:34:03.788, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:34:03.791, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:35:03.795, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:35:03.813, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:36:03.824, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:36:03.828, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:37:03.836, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:37:03.857, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:38:03.872, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:38:03.898, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:39:03.913, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:39:03.931, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:40:03.948, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:40:03.971, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:41:03.988, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:41:04.006, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:42:04.023, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:42:04.029, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:43:04.045, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:43:04.072, 24.14 W, 43, 0 %, 0 MiB
