index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/16 02:22:04.187, 259.51 W, 63, 100 %, 4380 MiB
0, 2023/03/16 02:23:04.189, 264.14 W, 64, 100 %, 4404 MiB
0, 2023/03/16 02:24:04.190, 254.73 W, 63, 100 %, 4368 MiB
0, 2023/03/16 02:25:04.195, 253.60 W, 63, 100 %, 4401 MiB
0, 2023/03/16 02:26:04.196, 258.19 W, 63, 100 %, 4372 MiB
0, 2023/03/16 02:27:04.198, 258.72 W, 63, 100 %, 4398 MiB
0, 2023/03/16 02:28:04.200, 253.75 W, 63, 100 %, 4402 MiB
0, 2023/03/16 02:29:04.201, 257.41 W, 63, 100 %, 4375 MiB
0, 2023/03/16 02:30:04.203, 257.93 W, 63, 100 %, 4375 MiB
0, 2023/03/16 02:31:04.204, 255.64 W, 63, 100 %, 4386 MiB
0, 2023/03/16 02:32:04.207, 258.03 W, 63, 100 %, 4393 MiB
0, 2023/03/16 02:33:04.208, 261.51 W, 64, 100 %, 4393 MiB
0, 2023/03/16 02:34:04.210, 256.95 W, 63, 100 %, 4393 MiB
0, 2023/03/16 02:35:04.212, 257.37 W, 63, 100 %, 4393 MiB
0, 2023/03/16 02:36:04.214, 258.32 W, 63, 100 %, 4427 MiB
0, 2023/03/16 02:37:04.216, 264.78 W, 64, 100 %, 4431 MiB
0, 2023/03/16 02:38:04.218, 266.82 W, 64, 100 %, 4435 MiB
0, 2023/03/16 02:39:04.219, 261.77 W, 63, 100 %, 4437 MiB
0, 2023/03/16 02:40:04.221, 258.56 W, 63, 100 %, 4453 MiB
0, 2023/03/16 02:41:04.222, 253.89 W, 63, 100 %, 4463 MiB
0, 2023/03/16 02:42:04.224, 260.54 W, 63, 100 %, 4463 MiB
0, 2023/03/16 02:43:04.226, 255.27 W, 63, 100 %, 4463 MiB
0, 2023/03/16 02:44:04.227, 262.07 W, 63, 100 %, 4412 MiB
0, 2023/03/16 02:45:04.229, 263.32 W, 64, 100 %, 4374 MiB
0, 2023/03/16 02:46:04.230, 263.03 W, 64, 100 %, 4377 MiB
0, 2023/03/16 02:47:04.232, 261.36 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:48:04.234, 265.70 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:49:04.238, 262.03 W, 63, 100 %, 4379 MiB
0, 2023/03/16 02:50:04.240, 260.51 W, 62, 100 %, 4379 MiB
0, 2023/03/16 02:51:04.242, 260.74 W, 62, 100 %, 4379 MiB
0, 2023/03/16 02:52:04.244, 263.24 W, 63, 100 %, 4379 MiB
0, 2023/03/16 02:53:04.246, 260.54 W, 63, 100 %, 4379 MiB
0, 2023/03/16 02:54:04.247, 258.23 W, 62, 97 %, 4400 MiB
0, 2023/03/16 02:55:04.249, 255.93 W, 62, 100 %, 4357 MiB
0, 2023/03/16 02:56:04.250, 257.73 W, 63, 100 %, 4379 MiB
0, 2023/03/16 02:57:04.252, 267.56 W, 64, 100 %, 4383 MiB
0, 2023/03/16 02:58:04.254, 256.15 W, 63, 100 %, 4398 MiB
0, 2023/03/16 02:59:04.255, 264.04 W, 64, 100 %, 4399 MiB
0, 2023/03/16 03:00:04.257, 268.78 W, 64, 100 %, 4391 MiB
0, 2023/03/16 03:01:04.258, 254.37 W, 63, 100 %, 4365 MiB
0, 2023/03/16 03:02:04.260, 257.10 W, 64, 100 %, 4365 MiB
0, 2023/03/16 03:03:04.262, 252.70 W, 63, 94 %, 4374 MiB
0, 2023/03/16 03:04:04.263, 253.07 W, 63, 100 %, 4396 MiB
0, 2023/03/16 03:05:04.273, 257.97 W, 63, 100 %, 4400 MiB
0, 2023/03/16 03:06:04.275, 256.90 W, 63, 100 %, 4384 MiB
0, 2023/03/16 03:07:04.277, 257.37 W, 63, 100 %, 4366 MiB
0, 2023/03/16 03:08:04.279, 258.59 W, 63, 100 %, 4374 MiB
0, 2023/03/16 03:09:04.281, 256.94 W, 63, 100 %, 4378 MiB
0, 2023/03/16 03:10:04.283, 258.10 W, 64, 100 %, 4378 MiB
0, 2023/03/16 03:11:04.284, 256.38 W, 64, 97 %, 4378 MiB
0, 2023/03/16 03:12:04.287, 259.40 W, 63, 100 %, 4394 MiB
0, 2023/03/16 03:13:04.289, 264.67 W, 64, 100 %, 4414 MiB
0, 2023/03/16 03:14:04.292, 263.46 W, 63, 100 %, 4416 MiB
0, 2023/03/16 03:15:04.293, 259.38 W, 64, 100 %, 4420 MiB
